blast2go_go_id,blast2go_go_name
F:GO:0042626,"F:ATPase activity, coupled to transmembrane movement of substances"
F:GO:0043168,F:anion binding
P:GO:0046686,P:response to cadmium ion
P:GO:0051701,P:interaction with host
P:GO:0051716,P:cellular response to stimulus
P:GO:0055072,P:iron ion homeostasis
P:GO:0071995,P:phytochelatin import into vacuole
F:GO:0005488,F:binding
P:GO:0006810,P:transport
C:GO:0016020,C:membrane
F:GO:0022857,F:transmembrane transporter activity
P:GO:0044419,P:interspecies interaction between organisms
C:GO:0044464,C:cell part
F:GO:0005506,F:iron ion binding
P:GO:0006811,P:ion transport
C:GO:0009279,C:cell outer membrane
F:GO:0015344,F:siderophore uptake transmembrane transporter activity
C:GO:0016021,C:integral component of membrane
F:GO:0038023,F:signaling receptor activity
P:GO:0044718,P:siderophore transmembrane transport
P:GO:0055072,P:iron ion homeostasis
F:GO:1903981,F:enterobactin binding
C:GO:0005886,C:plasma membrane
C:GO:0016021,C:integral component of membrane
C:GO:0005886,C:plasma membrane
C:GO:0016021,C:integral component of membrane
P:GO:0006810,P:transport
C:GO:0012505,C:endomembrane system
C:GO:0016020,C:membrane
C:GO:0043231,C:intracellular membrane-bounded organelle
C:GO:0044444,C:cytoplasmic part
P:GO:0006725,P:cellular aromatic compound metabolic process
C:GO:0009507,C:chloroplast
F:GO:0016709,"F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
P:GO:0044281,P:small molecule metabolic process
P:GO:0050896,P:response to stimulus
P:GO:0055114,P:oxidation-reduction process
P:GO:0071704,P:organic substance metabolic process
F:GO:0071949,F:FAD binding
P:GO:0002047,P:phenazine biosynthetic process
F:GO:0004733,F:pyridoxamine-phosphate oxidase activity
P:GO:0008615,P:pyridoxine biosynthetic process
P:GO:0009405,P:pathogenesis
F:GO:0010181,F:FMN binding
P:GO:0042823,P:pyridoxal phosphate biosynthetic process
P:GO:0055114,P:oxidation-reduction process
P:GO:0002047,P:phenazine biosynthetic process
P:GO:0009405,P:pathogenesis
P:GO:0010605,P:negative regulation of macromolecule metabolic process
P:GO:0031324,P:negative regulation of cellular metabolic process
P:GO:0051172,P:negative regulation of nitrogen compound metabolic process
P:GO:0080090,P:regulation of primary metabolic process
F:GO:0102943,"F:trans-2,3-dihydro-3-hydroxy-anthranilate isomerase activity"
P:GO:0002047,P:phenazine biosynthetic process
F:GO:0004049,F:anthranilate synthase activity
P:GO:0006541,P:glutamine metabolic process
P:GO:0009405,P:pathogenesis
F:GO:0016740,F:transferase activity
P:GO:0046394,P:carboxylic acid biosynthetic process
F:GO:0000287,F:magnesium ion binding
P:GO:0002047,P:phenazine biosynthetic process
C:GO:0005829,C:cytosol
C:GO:0005886,C:plasma membrane
F:GO:0008908,F:isochorismatase activity
P:GO:0009239,P:enterobactin biosynthetic process
P:GO:0009405,P:pathogenesis
F:GO:0016765,"F:transferase activity, transferring alkyl or aryl (other than methyl) groups"
F:GO:0031177,F:phosphopantetheine binding
F:GO:0042802,F:identical protein binding
F:GO:0047527,"F:2,3-dihydroxybenzoate-serine ligase activity"
P:GO:0055086,P:nucleobase-containing small molecule metabolic process
P:GO:0002047,P:phenazine biosynthetic process
F:GO:0003849,F:3-deoxy-7-phosphoheptulonate synthase activity
P:GO:0009073,P:aromatic amino acid family biosynthetic process
P:GO:0009405,P:pathogenesis
C:GO:0009507,C:chloroplast
F:GO:0046872,F:metal ion binding
C:GO:0071944,C:cell periphery
P:GO:0002047,P:phenazine biosynthetic process
P:GO:0009405,P:pathogenesis
P:GO:0002047,P:phenazine biosynthetic process
P:GO:0009405,P:pathogenesis
F:GO:0005515,F:protein binding
F:GO:0008171,F:O-methyltransferase activity
F:GO:0008757,F:S-adenosylmethionine-dependent methyltransferase activity
P:GO:0017144,P:drug metabolic process
P:GO:0019438,P:aromatic compound biosynthetic process
P:GO:0032259,P:methylation
P:GO:1901564,P:organonitrogen compound metabolic process
P:GO:1901576,P:organic substance biosynthetic process
P:GO:0009987,P:cellular process
P:GO:0010038,P:response to metal ion
C:GO:0016020,C:membrane
F:GO:0022857,F:transmembrane transporter activity
P:GO:0055085,P:transmembrane transport
F:GO:0005515,F:protein binding
C:GO:0005886,C:plasma membrane
F:GO:0015238,F:drug transmembrane transporter activity
P:GO:0015893,P:drug transport
C:GO:0016021,C:integral component of membrane
P:GO:0055085,P:transmembrane transport
F:GO:0005215,F:transporter activity
C:GO:0016020,C:membrane
,
C:GO:0005829,C:cytosol
P:GO:0005975,P:carbohydrate metabolic process
P:GO:0006006,P:glucose metabolic process
P:GO:0006098,P:pentose-phosphate shunt
F:GO:0016787,F:hydrolase activity
F:GO:0017057,F:6-phosphogluconolactonase activity
P:GO:0006807,P:nitrogen compound metabolic process
P:GO:0044238,P:primary metabolic process
P:GO:0044249,P:cellular biosynthetic process
P:GO:1901576,P:organic substance biosynthetic process
F:GO:0016491,F:oxidoreductase activity
F:GO:0005524,F:ATP binding
C:GO:0005829,C:cytosol
P:GO:0008360,P:regulation of cell shape
F:GO:0008716,F:D-alanine-D-alanine ligase activity
P:GO:0009252,P:peptidoglycan biosynthetic process
F:GO:0046872,F:metal ion binding
P:GO:0071555,P:cell wall organization
F:GO:0016787,F:hydrolase activity
P:GO:0042820,P:vitamin B6 catabolic process
F:GO:0046872,F:metal ion binding
F:GO:0047585,F:4-pyridoxolactonase activity
F:GO:0102007,F:acyl-L-homoserine-lactone lactonohydrolase activity
F:GO:0003995,F:acyl-CoA dehydrogenase activity
C:GO:0005739,C:mitochondrion
P:GO:0009062,P:fatty acid catabolic process
P:GO:0031324,P:negative regulation of cellular metabolic process
F:GO:0050660,F:flavin adenine dinucleotide binding
F:GO:0052890,"F:oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"
P:GO:0055114,P:oxidation-reduction process
P:GO:0080090,P:regulation of primary metabolic process
P:GO:1901564,P:organonitrogen compound metabolic process
F:GO:0003987,F:acetate-CoA ligase activity
F:GO:0005488,F:binding
C:GO:0005777,C:peroxisome
P:GO:0006083,P:acetate metabolic process
P:GO:0006097,P:glyoxylate cycle
F:GO:0018858,F:benzoate-CoA ligase activity
P:GO:0019605,P:butyrate metabolic process
P:GO:0019761,P:glucosinolate biosynthetic process
F:GO:0047760,F:butyrate-CoA ligase activity
F:GO:0050218,F:propionate-CoA ligase activity
F:GO:0004673,F:protein histidine kinase activity
F:GO:0005488,F:binding
C:GO:0005886,C:plasma membrane
P:GO:0006468,P:protein phosphorylation
P:GO:0007165,P:signal transduction
C:GO:0016021,C:integral component of membrane
P:GO:0071248,P:cellular response to metal ion
F:GO:0000976,F:transcription regulatory region sequence-specific DNA binding
F:GO:0001216,"F:bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding"
F:GO:0005515,F:protein binding
P:GO:0032892,P:positive regulation of organic acid transport
C:GO:0032993,C:protein-DNA complex
C:GO:0044444,C:cytoplasmic part
P:GO:0045893,"P:positive regulation of transcription, DNA-templated"
F:GO:0016597,F:amino acid binding
C:GO:0044464,C:cell part
P:GO:0050896,P:response to stimulus
P:GO:1902475,P:L-alpha-amino acid transmembrane transport
F:GO:0000099,F:sulfur amino acid transmembrane transporter activity
P:GO:0000101,P:sulfur amino acid transport
C:GO:0005886,C:plasma membrane
P:GO:0015804,P:neutral amino acid transport
P:GO:1901998,P:toxin transport
F:GO:0000099,F:sulfur amino acid transmembrane transporter activity
P:GO:0000101,P:sulfur amino acid transport
P:GO:0015804,P:neutral amino acid transport
C:GO:0016021,C:integral component of membrane
C:GO:0044459,C:plasma membrane part
P:GO:1901998,P:toxin transport
P:GO:0003333,P:amino acid transmembrane transport
F:GO:0005524,F:ATP binding
C:GO:0005886,C:plasma membrane
F:GO:0015184,F:L-cystine transmembrane transporter activity
F:GO:0015424,F:amino acid-transporting ATPase activity
P:GO:0015811,P:L-cystine transport
P:GO:0009628,P:response to abiotic stimulus
P:GO:0009693,P:ethylene biosynthetic process
F:GO:0016706,"F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors"
P:GO:0019752,P:carboxylic acid metabolic process
F:GO:0046872,F:metal ion binding
P:GO:0048583,P:regulation of response to stimulus
P:GO:0051716,P:cellular response to stimulus
F:GO:0000166,F:nucleotide binding
P:GO:0006733,P:oxidoreduction coenzyme metabolic process
P:GO:0009108,P:coenzyme biosynthetic process
F:GO:0016709,"F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
P:GO:0019439,P:aromatic compound catabolic process
P:GO:0019752,P:carboxylic acid metabolic process
P:GO:0034641,P:cellular nitrogen compound metabolic process
F:GO:0043168,F:anion binding
C:GO:0043231,C:intracellular membrane-bounded organelle
P:GO:0044238,P:primary metabolic process
P:GO:0044282,P:small molecule catabolic process
C:GO:0044444,C:cytoplasmic part
P:GO:0046483,P:heterocycle metabolic process
F:GO:0050662,F:coenzyme binding
P:GO:0050896,P:response to stimulus
P:GO:1901361,P:organic cyclic compound catabolic process
P:GO:1901362,P:organic cyclic compound biosynthetic process
P:GO:1901564,P:organonitrogen compound metabolic process
P:GO:0001523,P:retinoid metabolic process
F:GO:0001758,F:retinal dehydrogenase activity
P:GO:0001889,P:liver development
F:GO:0004029,F:aldehyde dehydrogenase (NAD) activity
F:GO:0005524,F:ATP binding
C:GO:0005739,C:mitochondrion
C:GO:0005829,C:cytosol
P:GO:0005975,P:carbohydrate metabolic process
P:GO:0006067,P:ethanol metabolic process
P:GO:0006081,P:cellular aldehyde metabolic process
P:GO:0006091,P:generation of precursor metabolites and energy
P:GO:0009447,P:putrescine catabolic process
C:GO:0009507,C:chloroplast
P:GO:0009699,P:phenylpropanoid biosynthetic process
P:GO:0019413,P:acetate biosynthetic process
P:GO:0032355,P:response to estradiol
P:GO:0032496,P:response to lipopolysaccharide
P:GO:0032570,P:response to progesterone
P:GO:0032870,P:cellular response to hormone stimulus
P:GO:0033574,P:response to testosterone
P:GO:0035094,P:response to nicotine
F:GO:0042802,F:identical protein binding
P:GO:0043066,P:negative regulation of apoptotic process
P:GO:0044282,P:small molecule catabolic process
P:GO:0046686,P:response to cadmium ion
F:GO:0050269,F:coniferyl-aldehyde dehydrogenase activity
P:GO:0055093,P:response to hyperoxia
P:GO:0055114,P:oxidation-reduction process
F:GO:0070404,F:NADH binding
P:GO:0071398,P:cellular response to fatty acid
F:GO:0003824,F:catalytic activity
C:GO:0005737,C:cytoplasm
P:GO:0008652,P:cellular amino acid biosynthetic process
F:GO:0008840,F:4-hydroxy-tetrahydrodipicolinate synthase
P:GO:0009085,P:lysine biosynthetic process
P:GO:0009089,P:lysine biosynthetic process via diaminopimelate
F:GO:0016829,F:lyase activity
P:GO:0019877,P:diaminopimelate biosynthetic process
F:GO:0005351,F:carbohydrate:proton symporter activity
C:GO:0005886,C:plasma membrane
P:GO:0006979,P:response to oxidative stress
P:GO:0008645,P:hexose transmembrane transport
C:GO:0009507,C:chloroplast
C:GO:0009526,C:plastid envelope
F:GO:0015149,F:hexose transmembrane transporter activity
C:GO:0031090,C:organelle membrane
C:GO:0005737,C:cytoplasm
P:GO:0009447,P:putrescine catabolic process
F:GO:0016491,F:oxidoreductase activity
P:GO:0055114,P:oxidation-reduction process
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
F:GO:0005515,F:protein binding
C:GO:0005737,C:cytoplasm
C:GO:0005829,C:cytosol
P:GO:0006351,"P:transcription, DNA-templated"
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0019521,P:D-gluconate metabolic process
F:GO:0043565,F:sequence-specific DNA binding
P:GO:0045892,"P:negative regulation of transcription, DNA-templated"
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0009893,P:positive regulation of metabolic process
P:GO:0009894,P:regulation of catabolic process
,
F:GO:0003674,F:molecular_function
C:GO:0005575,C:cellular_component
P:GO:0008150,P:biological_process
P:GO:0030435,P:sporulation resulting in formation of a cellular spore
F:GO:0048037,F:cofactor binding
,
P:GO:0009082,P:branched-chain amino acid biosynthetic process
F:GO:0016740,F:transferase activity
F:GO:0043167,F:ion binding
C:GO:0044444,C:cytoplasmic part
P:GO:1901607,P:alpha-amino acid biosynthetic process
P:GO:0006810,P:transport
C:GO:0016021,C:integral component of membrane
F:GO:0016787,F:hydrolase activity
C:GO:0019867,C:outer membrane
F:GO:0016740,F:transferase activity
C:GO:0005634,C:nucleus
C:GO:0005737,C:cytoplasm
C:GO:0005829,C:cytosol
F:GO:0008270,F:zinc ion binding
F:GO:0016829,F:lyase activity
F:GO:0016846,F:carbon-sulfur lyase activity
P:GO:0046294,P:formaldehyde catabolic process
F:GO:0046872,F:metal ion binding
F:GO:0051907,F:S-(hydroxymethyl)glutathione synthase activity
F:GO:0003755,F:peptidyl-prolyl cis-trans isomerase activity
F:GO:0005515,F:protein binding
P:GO:0009987,P:cellular process
C:GO:0016020,C:membrane
C:GO:0044464,C:cell part
C:GO:0005615,C:extracellular space
P:GO:0006508,P:proteolysis
P:GO:0006554,P:lysine catabolic process
F:GO:0008236,F:serine-type peptidase activity
P:GO:0009405,P:pathogenesis
P:GO:0015628,P:protein secretion by the type II secretion system
P:GO:0043952,P:protein transport by the Sec complex
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0009890,P:negative regulation of biosynthetic process
P:GO:0010212,P:response to ionizing radiation
F:GO:0043565,F:sequence-specific DNA binding
F:GO:0005515,F:protein binding
C:GO:0005739,C:mitochondrion
P:GO:0009082,P:branched-chain amino acid biosynthetic process
F:GO:0019239,F:deaminase activity
P:GO:0034641,P:cellular nitrogen compound metabolic process
P:GO:0043170,P:macromolecule metabolic process
P:GO:0044248,P:cellular catabolic process
P:GO:0065007,P:biological regulation
P:GO:1901565,P:organonitrogen compound catabolic process
P:GO:1901605,P:alpha-amino acid metabolic process
F:GO:0003677,F:DNA binding
F:GO:0003906,F:DNA-(apurinic or apyrimidinic site) endonuclease activity
F:GO:0004520,F:endodeoxyribonuclease activity
F:GO:0004521,F:endoribonuclease activity
F:GO:0005515,F:protein binding
C:GO:0005739,C:mitochondrion
P:GO:0006281,P:DNA repair
F:GO:0008081,F:phosphoric diester hydrolase activity
C:GO:0009536,C:plastid
P:GO:0010628,P:positive regulation of gene expression
F:GO:0016895,"F:exodeoxyribonuclease activity, producing 5'-phosphomonoesters"
C:GO:0031981,C:nuclear lumen
P:GO:0032501,P:multicellular organismal process
P:GO:0032502,P:developmental process
P:GO:0034614,P:cellular response to reactive oxygen species
P:GO:0042493,P:response to drug
P:GO:0042592,P:homeostatic process
P:GO:0042981,P:regulation of apoptotic process
C:GO:0043232,C:intracellular non-membrane-bounded organelle
P:GO:0048522,P:positive regulation of cellular process
P:GO:0048523,P:negative regulation of cellular process
P:GO:0071417,P:cellular response to organonitrogen compound
P:GO:0090305,P:nucleic acid phosphodiester bond hydrolysis
C:GO:0005737,C:cytoplasm
P:GO:0006464,P:cellular protein modification process
P:GO:0006974,P:cellular response to DNA damage stimulus
P:GO:0009628,P:response to abiotic stimulus
F:GO:0016836,F:hydro-lyase activity
P:GO:0030091,P:protein repair
F:GO:0140096,"F:catalytic activity, acting on a protein"
F:GO:0005488,F:binding
F:GO:0016491,F:oxidoreductase activity
P:GO:0042221,P:response to chemical
P:GO:0044237,P:cellular metabolic process
F:GO:0003677,F:DNA binding
F:GO:0003690,F:double-stranded DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
F:GO:0005506,F:iron ion binding
C:GO:0005829,C:cytosol
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0045892,"P:negative regulation of transcription, DNA-templated"
F:GO:0046872,F:metal ion binding
F:GO:0051536,F:iron-sulfur cluster binding
F:GO:0051537,"F:2 iron, 2 sulfur cluster binding"
P:GO:0002049,P:pyoverdine biosynthetic process
P:GO:0006810,P:transport
C:GO:0009279,C:cell outer membrane
C:GO:0016021,C:integral component of membrane
F:GO:0038023,F:signaling receptor activity
F:GO:0043167,F:ion binding
F:GO:0048037,F:cofactor binding
C:GO:0005829,C:cytosol
P:GO:0006629,P:lipid metabolic process
F:GO:0008106,F:alcohol dehydrogenase (NADP+) activity
P:GO:0019853,P:L-ascorbic acid biosynthetic process
F:GO:0047681,F:aryl-alcohol dehydrogenase (NADP+) activity
P:GO:0051596,P:methylglyoxal catabolic process
P:GO:0055114,P:oxidation-reduction process
C:GO:0071944,C:cell periphery
F:GO:1990002,"F:methylglyoxal reductase (NADPH-dependent, acetol producing)"
F:GO:0005515,F:protein binding
P:GO:0006473,P:protein acetylation
F:GO:0008080,F:N-acetyltransferase activity
P:GO:0008215,P:spermine metabolic process
P:GO:0008216,P:spermidine metabolic process
P:GO:0009445,P:putrescine metabolic process
P:GO:0032917,P:polyamine acetylation
F:GO:0005488,F:binding
P:GO:0006725,P:cellular aromatic compound metabolic process
F:GO:0008483,F:transaminase activity
P:GO:1901360,P:organic cyclic compound metabolic process
P:GO:1901605,P:alpha-amino acid metabolic process
,
P:GO:0006725,P:cellular aromatic compound metabolic process
F:GO:0016811,"F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides"
P:GO:0034641,P:cellular nitrogen compound metabolic process
P:GO:0046483,P:heterocycle metabolic process
P:GO:1901360,P:organic cyclic compound metabolic process
P:GO:1901564,P:organonitrogen compound metabolic process
F:GO:0004316,F:3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
C:GO:0005829,C:cytosol
P:GO:0009102,P:biotin biosynthetic process
P:GO:0030497,P:fatty acid elongation
F:GO:0042802,F:identical protein binding
F:GO:0043167,F:ion binding
F:GO:0050661,F:NADP binding
F:GO:0015603,F:iron chelate transmembrane transporter activity
F:GO:0015620,F:ferric-enterobactin transmembrane transporter activity
P:GO:0015685,P:ferric-enterobactin import into cell
C:GO:0016021,C:integral component of membrane
C:GO:0044459,C:plasma membrane part
F:GO:0005515,F:protein binding
C:GO:0005886,C:plasma membrane
F:GO:0015603,F:iron chelate transmembrane transporter activity
F:GO:0015620,F:ferric-enterobactin transmembrane transporter activity
P:GO:0015685,P:ferric-enterobactin import into cell
C:GO:0016021,C:integral component of membrane
P:GO:0006974,P:cellular response to DNA damage stimulus
P:GO:0015685,P:ferric-enterobactin import into cell
C:GO:0030288,C:outer membrane-bounded periplasmic space
F:GO:0005524,F:ATP binding
F:GO:0015620,F:ferric-enterobactin transmembrane transporter activity
P:GO:0015685,P:ferric-enterobactin import into cell
F:GO:0042626,"F:ATPase activity, coupled to transmembrane movement of substances"
C:GO:0043190,C:ATP-binding cassette (ABC) transporter complex
F:GO:0003677,F:DNA binding
F:GO:0003700,F:DNA-binding transcription factor activity
F:GO:0005515,F:protein binding
C:GO:0005829,C:cytosol
P:GO:0006071,P:glycerol metabolic process
P:GO:0006097,P:glyoxylate cycle
P:GO:0006351,"P:transcription, DNA-templated"
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0044010,P:single-species biofilm formation
P:GO:0045892,"P:negative regulation of transcription, DNA-templated"
F:GO:0005506,F:iron ion binding
P:GO:0006811,P:ion transport
C:GO:0009279,C:cell outer membrane
P:GO:0009405,P:pathogenesis
F:GO:0015343,F:siderophore transmembrane transporter activity
P:GO:0015891,P:siderophore transport
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
P:GO:0033212,P:iron import into cell
F:GO:0038023,F:signaling receptor activity
F:GO:0042912,F:colicin transmembrane transporter activity
P:GO:0043213,P:bacteriocin transport
P:GO:0044718,P:siderophore transmembrane transport
P:GO:0055072,P:iron ion homeostasis
F:GO:0004497,F:monooxygenase activity
F:GO:0016705,"F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
C:GO:0005829,C:cytosol
C:GO:0005887,C:integral component of plasma membrane
F:GO:0000721,"F:(R,R)-butanediol dehydrogenase activity"
P:GO:0006000,P:fructose metabolic process
P:GO:0006060,P:sorbitol metabolic process
P:GO:0006734,P:NADH metabolic process
C:GO:0016020,C:membrane
P:GO:0019405,P:alditol catabolic process
C:GO:0043227,C:membrane-bounded organelle
C:GO:0044444,C:cytoplasmic part
P:GO:0046173,P:polyol biosynthetic process
F:GO:0046872,F:metal ion binding
P:GO:0055114,P:oxidation-reduction process
F:GO:0004742,F:dihydrolipoyllysine-residue acetyltransferase activity
F:GO:0016787,F:hydrolase activity
P:GO:0019439,P:aromatic compound catabolic process
P:GO:0045150,P:acetoin catabolic process
F:GO:0005515,F:protein binding
F:GO:0016491,F:oxidoreductase activity
P:GO:0019752,P:carboxylic acid metabolic process
P:GO:0044238,P:primary metabolic process
P:GO:0045150,P:acetoin catabolic process
P:GO:0055114,P:oxidation-reduction process
P:GO:1901564,P:organonitrogen compound metabolic process
F:GO:0004739,F:pyruvate dehydrogenase (acetyl-transferring) activity
C:GO:0005730,C:nucleolus
C:GO:0005759,C:mitochondrial matrix
C:GO:0009570,C:chloroplast stroma
C:GO:0009941,C:chloroplast envelope
F:GO:0034604,F:pyruvate dehydrogenase (NAD+) activity
C:GO:0043209,C:myelin sheath
P:GO:0044248,P:cellular catabolic process
C:GO:0045254,C:pyruvate dehydrogenase complex
P:GO:0055114,P:oxidation-reduction process
P:GO:0061732,P:mitochondrial acetyl-CoA biosynthetic process from pyruvate
P:GO:1901575,P:organic substance catabolic process
F:GO:0003951,F:NAD+ kinase activity
C:GO:0005886,C:plasma membrane
P:GO:0006741,P:NADP biosynthetic process
C:GO:0016020,C:membrane
P:GO:0016310,P:phosphorylation
P:GO:0045150,P:acetoin catabolic process
F:GO:0005488,F:binding
P:GO:0006629,P:lipid metabolic process
F:GO:0016616,"F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
P:GO:0044237,P:cellular metabolic process
P:GO:0044281,P:small molecule metabolic process
C:GO:0044434,C:chloroplast part
F:GO:0003700,F:DNA-binding transcription factor activity
F:GO:0005515,F:protein binding
C:GO:0005737,C:cytoplasm
F:GO:0043565,F:sequence-specific DNA binding
P:GO:0060491,P:regulation of cell projection assembly
P:GO:2000142,"P:regulation of DNA-templated transcription, initiation"
,
F:GO:0003677,F:DNA binding
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0006810,P:transport
C:GO:0016020,C:membrane
F:GO:0022857,F:transmembrane transporter activity
P:GO:0042221,P:response to chemical
F:GO:0016787,F:hydrolase activity
F:GO:0022857,F:transmembrane transporter activity
P:GO:0032940,P:secretion by cell
F:GO:0005215,F:transporter activity
P:GO:0006810,P:transport
P:GO:0009987,P:cellular process
,
F:GO:0003824,F:catalytic activity
F:GO:0003885,"F:D-arabinono-1,4-lactone oxidase activity"
C:GO:0005618,C:cell wall
C:GO:0005783,C:endoplasmic reticulum
C:GO:0005789,C:endoplasmic reticulum membrane
C:GO:0005886,C:plasma membrane
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0016491,F:oxidoreductase activity
F:GO:0016899,"F:oxidoreductase activity, acting on the CH-OH group of donors, oxygen as acceptor"
P:GO:0019853,P:L-ascorbic acid biosynthetic process
C:GO:0031090,C:organelle membrane
C:GO:0043231,C:intracellular membrane-bounded organelle
F:GO:0050105,F:L-gulonolactone oxidase activity
F:GO:0050660,F:flavin adenine dinucleotide binding
P:GO:0055114,P:oxidation-reduction process
F:GO:0071949,F:FAD binding
F:GO:0080049,"F:L-gulono-1,4-lactone dehydrogenase activity"
,
F:GO:0003723,F:RNA binding
F:GO:0004831,F:tyrosine-tRNA ligase activity
F:GO:0005524,F:ATP binding
C:GO:0005829,C:cytosol
P:GO:0006437,P:tyrosyl-tRNA aminoacylation
P:GO:0006811,P:ion transport
F:GO:0008233,F:peptidase activity
C:GO:0009279,C:cell outer membrane
F:GO:0015267,F:channel activity
C:GO:0016021,C:integral component of membrane
C:GO:0005886,C:plasma membrane
P:GO:0035442,P:dipeptide transmembrane transport
P:GO:0042221,P:response to chemical
F:GO:0071916,F:dipeptide transmembrane transporter activity
F:GO:0003677,F:DNA binding
P:GO:0006355,"P:regulation of transcription, DNA-templated"
,
F:GO:0004129,F:cytochrome-c oxidase activity
F:GO:0005506,F:iron ion binding
F:GO:0005507,F:copper ion binding
C:GO:0005887,C:integral component of plasma membrane
P:GO:0006119,P:oxidative phosphorylation
P:GO:0015990,P:electron transport coupled proton transport
F:GO:0016705,"F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
P:GO:0019411,"P:aerobic respiration, using ferrous ions as electron donor"
P:GO:0019646,P:aerobic electron transport chain
F:GO:0019825,F:oxygen binding
F:GO:0020037,F:heme binding
F:GO:0045154,"F:electron transporter, transferring electrons within cytochrome c oxidase complex activity"
C:GO:0045278,C:plasma membrane respiratory chain complex IV
F:GO:0005488,F:binding
P:GO:0006139,P:nucleobase-containing compound metabolic process
F:GO:0008483,F:transaminase activity
P:GO:0044249,P:cellular biosynthetic process
P:GO:1901576,P:organic substance biosynthetic process
P:GO:1901605,P:alpha-amino acid metabolic process
C:GO:0005886,C:plasma membrane
P:GO:0009399,P:nitrogen fixation
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0046872,F:metal ion binding
F:GO:0051536,F:iron-sulfur cluster binding
F:GO:0051539,"F:4 iron, 4 sulfur cluster binding"
P:GO:0055114,P:oxidation-reduction process
P:GO:0006790,P:sulfur compound metabolic process
P:GO:0006807,P:nitrogen compound metabolic process
C:GO:0009536,C:plastid
F:GO:0016667,"F:oxidoreductase activity, acting on a sulfur group of donors"
P:GO:0043436,P:oxoacid metabolic process
P:GO:0044249,P:cellular biosynthetic process
F:GO:0048037,F:cofactor binding
,
C:GO:0005737,C:cytoplasm
F:GO:0016832,F:aldehyde-lyase activity
P:GO:0019439,P:aromatic compound catabolic process
P:GO:0006706,P:steroid catabolic process
F:GO:0018817,"F:2-oxo-hept-3-ene-1,7-dioate hydratase activity"
P:GO:0019439,P:aromatic compound catabolic process
F:GO:0046872,F:metal ion binding
C:GO:0005886,C:plasma membrane
F:GO:0022857,F:transmembrane transporter activity
P:GO:1905039,P:carboxylic acid transmembrane transport
F:GO:0016853,F:isomerase activity
P:GO:0006725,P:cellular aromatic compound metabolic process
F:GO:0046872,F:metal ion binding
F:GO:0051213,F:dioxygenase activity
F:GO:0001758,F:retinal dehydrogenase activity
P:GO:0001889,P:liver development
F:GO:0004029,F:aldehyde dehydrogenase (NAD) activity
F:GO:0004030,F:aldehyde dehydrogenase [NAD(P)+] activity
F:GO:0005524,F:ATP binding
C:GO:0005654,C:nucleoplasm
C:GO:0005759,C:mitochondrial matrix
C:GO:0005829,C:cytosol
P:GO:0005975,P:carbohydrate metabolic process
P:GO:0006069,P:ethanol oxidation
P:GO:0007389,P:pattern specification process
P:GO:0008285,P:negative regulation of cell proliferation
F:GO:0009055,F:electron transfer activity
C:GO:0009507,C:chloroplast
P:GO:0009653,P:anatomical structure morphogenesis
F:GO:0018480,F:5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase activity
P:GO:0021915,P:neural tube development
P:GO:0032355,P:response to estradiol
P:GO:0032496,P:response to lipopolysaccharide
P:GO:0032570,P:response to progesterone
P:GO:0032870,P:cellular response to hormone stimulus
P:GO:0033574,P:response to testosterone
P:GO:0034097,P:response to cytokine
P:GO:0035094,P:response to nicotine
P:GO:0042573,P:retinoic acid metabolic process
P:GO:0042574,P:retinal metabolic process
F:GO:0042802,F:identical protein binding
P:GO:0043066,P:negative regulation of apoptotic process
P:GO:0046686,P:response to cadmium ion
P:GO:0055093,P:response to hyperoxia
