id_ccbh,seq_name,description,length
PA4851_08745,|PA4851_08745||two-component|,CPXR_SHIFLTranscriptional regulatory protein CpxR OS=Shigella flexneri OX=623 GN=cpxR PE=3 SV=1,225
PA4851_08750,|PA4851_08750||hypothetical|,---NA---,120
PA4851_08755,|PA4851_08755||hypothetical|,YCII_SHIFLProtein YciI OS=Shigella flexneri OX=623 GN=yciI PE=3 SV=1,99
PA4851_08760,|PA4851_08760||intracellular|,YCIB_PSEAEProbable intracellular septation protein A OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA3201 PE=3 SV=1,195
PA4851_08765,|PA4851_08765||hypothetical|,RNAAM_HAEIN5'-3' exoribonuclease OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=HI_1400 PE=3 SV=1,295
PA4851_08770,|PA4851_08770||hypothetical|,TSAC_ALCBSThreonylcarbamoyl-AMP synthase OS=Alcanivorax borkumensis (strain ATCC 700651 / DSM 11573 / NCIMB 13689 / SK2) OX=393595 GN=tsaC PE=3 SV=1,209
PA4851_08775,|PA4851_08775||hypothetical|,SCPA_COXBUSegregation and condensation protein A OS=Coxiella burnetii (strain RSA 493 / Nine Mile phase I) OX=227377 GN=scpA PE=3 SV=1,250
PA4851_08780,|PA4851_08780||hypothetical|,SCPBL_COXBUSegregation and condensation protein B homolog OS=Coxiella burnetii (strain RSA 493 / Nine Mile phase I) OX=227377 GN=scpB PE=1 SV=1,332
PA4851_08785,|PA4851_08785||hypothetical|,---NA---,176
PA4851_08790,|PA4851_08790||glyceraldehyde|,G3P_PSEAEGlyceraldehyde-3-phosphate dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=gap PE=3 SV=3,334
PA4851_08795,|PA4851_08795||phosphogluconate|,EDD_PSEAEPhosphogluconate dehydratase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=edd PE=3 SV=3,608
PA4851_08800,|PA4851_08800||glucokinase||COORDINATES_|,GLK_PSEAEGlucokinase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=glk PE=3 SV=1,331
PA4851_08805,|PA4851_08805||two-component|,OMPR_SHIFLTranscriptional regulatory protein OmpR OS=Shigella flexneri OX=623 GN=ompR PE=3 SV=1,242
PA4851_08810,|PA4851_08810||two-component|,ENVZ_SHIFLOsmolarity sensor protein EnvZ OS=Shigella flexneri OX=623 GN=envZ PE=1 SV=1,473
PA4851_08815,|PA4851_08815||sugar|,SP39_RHIMEProbable sugar-binding periplasmic protein OS=Rhizobium meliloti (strain 1021) OX=266834 GN=R03301 PE=3 SV=1,420
PA4851_08820,|PA4851_08820||sugar|,Y1215_PYRHOProbable ABC transporter permease protein PH1215 OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=PH1215 PE=3 SV=1,310
PA4851_08825,|PA4851_08825||sugar|,Y1216_PYRHOProbable ABC transporter permease protein PH1216 OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=PH1216 PE=3 SV=1,281
PA4851_08830,|PA4851_08830||ABC|,UGPC_SALTIsn-glycerol-3-phosphate import ATP-binding protein UgpC OS=Salmonella typhi OX=90370 GN=ugpC PE=3 SV=1,386
PA4851_08835,|PA4851_08835||porin|,PORB_PSEAEPorin B OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=oprB PE=1 SV=1,454
PA4851_08840,|PA4851_08840||hypothetical|,YEAD_ECOLIPutative glucose-6-phosphate 1-epimerase OS=Escherichia coli (strain K12) OX=83333 GN=yeaD PE=1 SV=2,283
PA4851_08845,|PA4851_08845||HTH-type|,HEXR_PSEAEHTH-type transcriptional regulator HexR OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=hexR PE=3 SV=2,285
PA4851_08850,|PA4851_08850||glucose-6-phosphate|,G6PD_PSEAEGlucose-6-phosphate 1-dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=zwf PE=1 SV=1,489
PA4851_08855,|PA4851_08855||6-phosphogluconolactonase||COORDINATES_|,6PGL_PSEAE6-phosphogluconolactonase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=pgl PE=3 SV=2,238
PA4851_08860,|PA4851_08860||2-dehydro-3-deoxy-phosphogluconate|,ALKD_PSEAE2-dehydro-3-deoxy-phosphogluconate aldolase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=eda PE=3 SV=2,220
PA4851_08865,|PA4851_08865||hypothetical|,MUTT_PROVU8-oxo-dGTP diphosphatase OS=Proteus vulgaris OX=585 GN=mutT PE=3 SV=1,145
PA4851_08870,|PA4851_08870||ribosomal|,RLUB_PSEAERibosomal large subunit pseudouridine synthase B OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=rluB PE=3 SV=1,386
PA4851_08875,|PA4851_08875||hypothetical|,---NA---,125
PA4851_08880,|PA4851_08880||hypothetical|,DOSC_ECOLIDiguanylate cyclase DosC OS=Escherichia coli (strain K12) OX=83333 GN=dosC PE=1 SV=1,307
PA4851_08885,|PA4851_08885||glutamate/sodium|,GLTS_HAEINSodium/glutamate symporter OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=gltS PE=3 SV=1,404
PA4851_08890,|PA4851_08890||formimidoylglutamase||COORDINATES_|,HUTG_PSEABFormimidoylglutamase OS=Pseudomonas aeruginosa (strain UCBPP-PA14) OX=208963 GN=hutG PE=3 SV=1,311
PA4851_08895,|PA4851_08895||transcriptional|,KDGR_DICCHPectin degradation repressor protein KdgR OS=Dickeya chrysanthemi OX=556 GN=kdgR PE=1 SV=2,242
PA4851_08900,|PA4851_08900||short-chain|,YCIK_ECOLIUncharacterized oxidoreductase YciK OS=Escherichia coli (strain K12) OX=83333 GN=yciK PE=1 SV=3,246
PA4851_08905,|PA4851_08905||phosphoglycolate|,MUPP_PSEAEN-acetylmuramic acid 6-phosphate phosphatase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=mupP PE=1 SV=1,226
PA4851_08910,|PA4851_08910||ubiquinone|,UBIG_PSEA8Ubiquinone biosynthesis O-methyltransferase OS=Pseudomonas aeruginosa (strain LESB58) OX=557722 GN=ubiG PE=3 SV=1,232
PA4851_08915,|PA4851_08915||N-ethylammeline|,MTAD_SACD25-methylthioadenosine/S-adenosylhomocysteine deaminase OS=Saccharophagus degradans (strain 2-40 / ATCC 43961 / DSM 17024) OX=203122 GN=mtaD PE=3 SV=1,444
PA4851_08920,|PA4851_08920||methylthioribose-1-phosphate|,MTNA_PSEAEMethylthioribose-1-phosphate isomerase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=mtnA PE=3 SV=1,358
PA4851_08925,|PA4851_08925||DNA|,GYRA_PSEAEDNA gyrase subunit A OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=gyrA PE=3 SV=1,923
PA4851_08930,|PA4851_08930||3-phosphoserine/phosphohydroxythreonine|,SERC_PSEABPhosphoserine aminotransferase OS=Pseudomonas aeruginosa (strain UCBPP-PA14) OX=208963 GN=serC PE=3 SV=1,361
PA4851_08935,|PA4851_08935||bifunctional|,CMPDT_PSEAEBifunctional chorismate mutase/prephenate dehydratase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=pheA PE=3 SV=1,365
PA4851_08940,|PA4851_08940||histidinol-phosphate|,HIS82_PSEAEHistidinol-phosphate aminotransferase 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=hisC2 PE=3 SV=1,369
PA4851_08945,|PA4851_08945||bifunctional|,AROA_METCA3-phosphoshikimate 1-carboxyvinyltransferase OS=Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath) OX=243233 GN=aroA PE=3 SV=2,746
PA4851_08950,|PA4851_08950||cytidylate|,KCY_PSEA8Cytidylate kinase OS=Pseudomonas aeruginosa (strain LESB58) OX=557722 GN=cmk PE=3 SV=1,229
PA4851_08955,|PA4851_08955||30S|,RS1_PSEAE30S ribosomal protein S1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=rpsA PE=3 SV=1,559
PA4851_08960,|PA4851_08960||integration|,IHFB_PSEAEIntegration host factor subunit beta OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=ihfB PE=3 SV=1,94
PA4851_08965,|PA4851_08965||O-antigen|,WZZB8_ECOLXChain length determinant protein OS=Escherichia coli OX=562 GN=wzzB PE=3 SV=2,348
PA4851_08970,|PA4851_08970||UDP-N-acetyl-d-glucosamine|,UGND_PSEAEUDP-N-acetyl-D-glucosamine 6-dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=wbpA PE=1 SV=1,436
PA4851_08975,|PA4851_08975||UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate|,WBPB_PSEAEUDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=wbpB PE=1 SV=1,316
PA4851_08980,|PA4851_08980||acetyltransferase||COORDINATES_|,OATA_STAARO-acetyltransferase OatA OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=oatA PE=3 SV=1,629
PA4851_08985,|PA4851_08985||UDP-2-acetamido-3-amino-2_|,"WBPD_PSEAEUDP-2-acetamido-3-amino-2,3-dideoxy-D-glucuronate N-acetyltransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=wbpD PE=1 SV=1",191
PA4851_08990,|PA4851_08990||UDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate|,WBPE_PSEAEUDP-2-acetamido-2-deoxy-3-oxo-D-glucuronate aminotransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=wbpE PE=1 SV=1,359
PA4851_08995,|PA4851_08995||B-band|,---NA---,438
PA4851_09000,|PA4851_09000||O-antigen|,TUAB_BACSUTeichuronic acid biosynthesis protein TuaB OS=Bacillus subtilis (strain 168) OX=224308 GN=tuaB PE=2 SV=1,411
PA4851_09005,|PA4851_09005||imidazole|,HIS52_PSEAEImidazole glycerol phosphate synthase subunit HisH 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=hisH2 PE=3 SV=2,202
PA4851_09010,|PA4851_09010||imidazole|,HIS62_PSEAEPutative imidazole glycerol phosphate synthase subunit hisF2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=hisF2 PE=3 SV=1,251
PA4851_09015,|PA4851_09015||LPS|,---NA---,377
PA4851_09020,|PA4851_09020||glycosyltransferase|,CAPM_STAAUCapsular polysaccharide biosynthesis glycosyltransferase CapM OS=Staphylococcus aureus OX=1280 GN=capM PE=3 SV=1,373
PA4851_09025,|PA4851_09025||UDP-2_3-diacetamido-2_3-dideoxy-D-glucuronate|,"WBPI_PSEAEUDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=wbpI PE=1 SV=1",354
PA4851_09030,|PA4851_09030||glycosyl|,WCAI_ECOLIPutative colanic acid biosynthesis glycosyl transferase WcaI OS=Escherichia coli (strain K12) OX=83333 GN=wcaI PE=4 SV=1,413
PA4851_09035,|PA4851_09035||NAD-dependent|,GALE_VIBCLUDP-glucose 4-epimerase OS=Vibrio cholerae OX=666 GN=galE PE=3 SV=1,316
PA4851_09040,|PA4851_09040||glycosyltransferase|,TAGO_BACSUProbable undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase OS=Bacillus subtilis (strain 168) OX=224308 GN=tagO PE=1 SV=1,339
PA4851_09045,|PA4851_09045||hypothetical|,YI74_BURM1Insertion element IS407 uncharacterized 10.0 kDa protein OS=Burkholderia multivorans (strain ATCC 17616 / 249) OX=395019 GN=Bmul_4720 PE=3 SV=1,39
PA4851_09050,|PA4851_09050||hypothetical|,YI74_BURM1Insertion element IS407 uncharacterized 10.0 kDa protein OS=Burkholderia multivorans (strain ATCC 17616 / 249) OX=395019 GN=Bmul_4720 PE=3 SV=1,180
PA4851_09055,|PA4851_09055||hypothetical|,YI71_BURM1Insertion element IS407 uncharacterized 31.7 kDa protein OS=Burkholderia multivorans (strain ATCC 17616 / 249) OX=395019 GN=Bmul_4719 PE=4 SV=2,100
PA4851_09060,|PA4851_09060||nucleotide|,CAPD_STAAUCapsular polysaccharide biosynthesis protein CapD OS=Staphylococcus aureus OX=1280 GN=capD PE=3 SV=1,665
PA4851_09065,|PA4851_09065||hypothetical|,EEPD1_RATEndonuclease/exonuclease/phosphatase family domain-containing protein 1 OS=Rattus norvegicus OX=10116 GN=Eepd1 PE=1 SV=1,109
PA4851_09075,|PA4851_09075||aspartate|,AAT_PSEAEAspartate aminotransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=aspC PE=3 SV=2,398
PA4851_09080,|PA4851_09080||excinuclease|,UVRB_PSEAEUvrABC system protein B OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=uvrB PE=3 SV=2,670
PA4851_09085,|PA4851_09085||major|,EMRB_ECOLIMultidrug export protein EmrB OS=Escherichia coli (strain K12) OX=83333 GN=emrB PE=1 SV=1,499
PA4851_09090,|PA4851_09090||secretion|,EMRA_HAEINMultidrug export protein EmrA OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=emrA PE=3 SV=1,355
PA4851_09095,|PA4851_09095||transcriptional|,YAFC_ECOLIUncharacterized HTH-type transcriptional regulator YafC OS=Escherichia coli (strain K12) OX=83333 GN=yafC PE=4 SV=1,306
PA4851_09100,|PA4851_09100||glutamate--tRNA|,SYE_PSEAEGlutamate--tRNA ligase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=gltX PE=1 SV=2,494
PA4851_09125,|PA4851_09125||transcriptional|,YERO_BACSUUncharacterized HTH-type transcriptional regulator YerO OS=Bacillus subtilis (strain 168) OX=224308 GN=yerO PE=4 SV=1,180
PA4851_09130,|PA4851_09130||hydrolase||COORDINATES_|,BIOH_AERS4Pimeloyl-,285
PA4851_09135,|PA4851_09135||aldolase||COORDINATES_|,ALKH_DICD3KHG/KDPG aldolase OS=Dickeya dadantii (strain 3937) OX=198628 GN=eda PE=3 SV=1,215
PA4851_09140,|PA4851_09140||hypothetical|,"ALT4_ARATHAcyl-acyl carrier protein thioesterase ATL4, chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ALT4 PE=2 SV=1",145
PA4851_09145,|PA4851_09145||tRNA-dihydrouridine|,DUSC_PSEAEtRNA-dihydrouridine(16) synthase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=dusC PE=3 SV=1,319
PA4851_09150,|PA4851_09150||short-chain|,YGFF_ECOLIUncharacterized oxidoreductase YgfF OS=Escherichia coli (strain K12) OX=83333 GN=ygfF PE=1 SV=2,248
PA4851_09155,|PA4851_09155||hypothetical|,BLE_KLEPNBleomycin resistance protein OS=Klebsiella pneumoniae OX=573 GN=ble PE=1 SV=1,267
PA4851_09160,|PA4851_09160||heat-shock|,IBPB_AZOVI16 kDa heat shock protein B OS=Azotobacter vinelandii OX=354 GN=ibpB PE=3 SV=1,149
PA4851_09165,|PA4851_09165||hypothetical|,---NA---,442
PA4851_09170,|PA4851_09170||transcriptional|,YAFC_ECOLIUncharacterized HTH-type transcriptional regulator YafC OS=Escherichia coli (strain K12) OX=83333 GN=yafC PE=4 SV=1,303
PA4851_09175,|PA4851_09175||hypothetical|,RIDA_PYRFU2-iminobutanoate/2-iminopropanoate deaminase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=yjgF PE=1 SV=1,125
PA4851_09180,|PA4851_09180||transcriptional|,YIBL_AZOVIUncharacterized HTH-type transcriptional regulator in ibpB-leuC intergenic region OS=Azotobacter vinelandii OX=354 PE=4 SV=1,297
PA4851_09185,|PA4851_09185||3-isopropylmalate|,LEUC_PSEAE3-isopropylmalate dehydratase large subunit OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=leuC PE=3 SV=1,474
PA4851_09190,|PA4851_09190||isopropylmalate|,LEUD_PSEAE3-isopropylmalate dehydratase small subunit OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=leuD PE=3 SV=1,212
PA4851_09195,|PA4851_09195||hypothetical|,YCGJ_BACSUUncharacterized methyltransferase YcgJ OS=Bacillus subtilis (strain 168) OX=224308 GN=ycgJ PE=1 SV=2,187
PA4851_09200,|PA4851_09200||3-isopropylmalate|,LEU3_PSEAE3-isopropylmalate dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=leuB PE=3 SV=2,360
PA4851_09205,|PA4851_09205||aspartate-semialdehyde|,DHAS_PSEAEAspartate-semialdehyde dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=asd PE=1 SV=2,370
PA4851_09210,|PA4851_09210||aspartate-semialdehyde|,USG_PSEAEUSG-1 protein homolog OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=usg PE=1 SV=2,336
PA4851_09215,|PA4851_09215||motility|,---NA---,919
PA4851_09220,|PA4851_09220||tRNA|,TRUA_PSEAEtRNA pseudouridine synthase A OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=truA PE=3 SV=1,285
PA4851_09225,|PA4851_09225||N-(5_-phosphoribosyl)anthranilate|,TRPF_PSEA8N-(5'-phosphoribosyl)anthranilate isomerase OS=Pseudomonas aeruginosa (strain LESB58) OX=557722 GN=trpF PE=3 SV=1,211
PA4851_09230,|PA4851_09230||acetyl-CoA|,ACCD_PSEAEAcetyl-coenzyme A carboxylase carboxyl transferase subunit beta OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=accD PE=1 SV=1,290
PA4851_09235,|PA4851_09235||folylpolyglutamate|,FOLC_ECOLIDihydrofolate synthase/folylpolyglutamate synthase OS=Escherichia coli (strain K12) OX=83333 GN=folC PE=1 SV=2,429
PA4851_09240,|PA4851_09240||SPOR|,FTSN_ECOLICell division protein FtsN OS=Escherichia coli (strain K12) OX=83333 GN=ftsN PE=1 SV=3,221
PA4851_09245,|PA4851_09245||hypothetical|,CVPA_ECOLIColicin V production protein OS=Escherichia coli (strain K12) OX=83333 GN=cvpA PE=1 SV=1,180
PA4851_09250,|PA4851_09250||amidophosphoribosyltransferase||COORDINATES_|,PUR1_PSEAEAmidophosphoribosyltransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=purF PE=3 SV=3,501
PA4851_09255,|PA4851_09255||O-succinylhomoserine|,METZ_PSEAEO-succinylhomoserine sulfhydrylase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=metZ PE=1 SV=1,403
PA4851_09260,|PA4851_09260||oxidoreductase||COORDINATES_|,Y3106_PSEAEUncharacterized oxidoreductase PA3106 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA3106 PE=3 SV=1,255
PA4851_09265,|PA4851_09265||type|,GSPD_PSEAEType II secretion system protein D OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpQ PE=1 SV=1,658
PA4851_09270,|PA4851_09270||type|,GSPN_PSEAEType II secretion system protein N OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpP PE=1 SV=1,235
PA4851_09275,|PA4851_09275||type|,GSPE_PSEAEType II secretion system protein E OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpR PE=3 SV=1,502
PA4851_09280,|PA4851_09280||type|,GSPF_PSEAEType II secretion system protein F OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpS PE=3 SV=1,405
PA4851_09285,|PA4851_09285||type|,GSPG_PSEAEType II secretion system protein G OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpT PE=1 SV=1,148
PA4851_09290,|PA4851_09290||type|,GSPH_PSEAEType II secretion system protein H OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpU PE=3 SV=1,172
PA4851_09295,|PA4851_09295||type|,GSPI_PSEAEType II secretion system protein I OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpV PE=1 SV=1,129
PA4851_09300,|PA4851_09300||type|,GSPJ_PSEAEType II secretion system protein J OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpW PE=1 SV=1,237
PA4851_09305,|PA4851_09305||type|,GSPK_PSEAEType II secretion system protein K OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpX PE=1 SV=1,333
PA4851_09310,|PA4851_09310||type|,GSPL_PSEAEType II secretion system protein L OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpY PE=1 SV=2,382
PA4851_09315,|PA4851_09315||type|,GSPM_PSEAEType II secretion system protein M OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=xcpZ PE=3 SV=1,174
PA4851_09335,|PA4851_09335||hypothetical|,---NA---,354
PA4851_09340,|PA4851_09340||2_4-dienoyl-CoA|,"FADH_ECOLI2,4-dienoyl-CoA reductase OS=Escherichia coli (strain K12) OX=83333 GN=fadH PE=1 SV=3",679
PA4851_09345,|PA4851_09345||hypothetical|,RBP2A_PLAF7Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=PF13_0198 PE=1 SV=1,479
PA4851_09350,|PA4851_09350||1-aminocyclopropane-1-carboxylate|,1A1D_PYRHOPutative 1-aminocyclopropane-1-carboxylate deaminase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=PH0054 PE=1 SV=2,299
PA4851_09355,|PA4851_09355||hypothetical|,---NA---,321
PA4851_09360,|PA4851_09360||NAD|,NADK_PSEAENAD kinase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nadK PE=3 SV=1,295
PA4851_09365,|PA4851_09365||hypothetical|,PRPE_BACLDBis(5'-nucleosyl)-tetraphosphatase PrpE,326
PA4851_09370,|PA4851_09370||hypothetical|,GLPG_ESCF3Rhomboid protease GlpG OS=Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73) OX=585054 GN=glpG PE=3 SV=1,286
PA4851_09375,|PA4851_09375||hypothetical|,YEAC_ECOLIUncharacterized protein YeaC OS=Escherichia coli (strain K12) OX=83333 GN=yeaC PE=4 SV=2,87
PA4851_09380,|PA4851_09380||hypothetical|,---NA---,266
